Title,Year,DOI,Blue infrastructure,blue-green infrastructure,gray infrastructure,water quality,air quality,biodiversity,Stormwater management,Flood-risk management,public health,GI_Examples,Geographic Population Density,Primary Locale,Methodology,Challenges and Limitations
Green Infrastructure and Health,2021,10.1146/annurev-publhealth-090419-102511,False,False,False,True,True,True,True,True,True,"green roofs, green walls, trees, green spaces, rain gardens, biodiverse plantings",Urban,River,"Case studies, Experimental, Review, Qualitative, Quantitative, Modeling, Surveys and questionnaires, Ethnographic, Longitudinal",Funding
"Analysis of Green Infrastructure in Lodz, Poland",2015,10.1061/(ASCE)UP.1943-5444.0000242,False,False,False,False,False,False,False,False,False,"Green spaces, Woodland areas, Agricultural areas",Urban,Not Mentioned,"Review, Quantitative",Not mentioned
Green infrastructure: systematic literature review,2022,10.1080/1331677X.2021.1893202,False,False,True,True,True,True,True,False,False,"green roofs, green walls",Urban,River,"Case studies, Review, Qualitative, Quantitative, Modeling",Funding
Defining community-scale green infrastructure,2017,10.1080/01426397.2016.1229463,False,False,False,True,True,True,False,False,False,"green roofs, green walls",Urban,River,"Case studies, Qualitative, Quantitative, Surveys and questionnaires",Funding
Green infrastructure in comprehensive plans in coastal Texas,2021,10.1080/09640568.2020.1835618,False,False,False,True,False,False,True,True,False,"green roofs, green walls",Suburban,Coastal,"Case studies, Qualitative, Quantitative",Lack of data
The interrelationship of green infrastructure and natural capital,2018,10.1016/j.landusepol.2018.03.021,False,False,False,True,True,True,True,True,True,"parks and gardens, amenity green space, green roofs, green walls",Urban,River,"Case studies, Review, Qualitative, Quantitative, Modeling",Funding
Improving Participation in Green Infrastructure Planning,2016,10.1080/02697459.2016.1158065,False,False,True,True,False,True,True,True,False,"green roofs, green walls",Urban,River,"Case studies, Qualitative, Surveys and questionnaires",Funding
Green Infrastructure in Rural Communities of Mexico,2019,10.11144/Javeriana.cdr16-84.girc,False,False,False,True,True,True,True,False,True,"green roofs, green walls",Rural,River,"Review, Qualitative, Quantitative, Modeling, Surveys and questionnaires, Ethnographic",Funding
Green Infrastructure Gauge: A tool for evaluating green infrastructure inclusion in existing and future urban areas,2012,10.1016/j.sbspro.2012.12.269,False,False,False,True,False,True,True,False,False,"Green roofs, Green walls",Urban,Lake,"Case studies, Surveys and questionnaires",Land availability
Green Infrastructure Planning Principles: An Integrated Literature Review,2020,10.3390/land9120525,False,True,False,True,True,True,True,True,True,"green roofs, green walls",Urban,River,"Review, Qualitative, Quantitative",Funding
Understanding green infrastructure: the development of a contested concept in England,2011,10.1080/13549839.2011.631993,False,False,False,True,False,True,True,True,True,"green roofs, green walls",Not Mentioned,River,"Case studies, Review, Qualitative, Quantitative, Modeling",Funding
"Web-GIS Platform for Green Infrastructure in Bucharest, Romania",2015,10.1117/12.2192680,False,False,False,True,False,True,True,False,False,"green area quality, vegetation visual status, vandalism, problems due to human activity, unforeseen natural effects",Urban,Green Areas,Surveys and questionnaires,Technical challenges
Experiential Contacts with Green Infrastructure's Diversity and Well-being of Urban Community,2012,10.1016/j.sbspro.2012.07.024,False,False,False,True,False,True,False,False,False,"Lake Gardens, hill sites, town, residential neighbourhood, home gardens",Urban,Lake,"Surveys and questionnaires, Qualitative",Not mentioned
Creating GIS-Based Planning Tools to Promote Equity Through Green Infrastructure,2018,10.3389/fbuil.2018.00027,False,False,False,True,False,False,True,False,False,"rain gardens, permeable pavement, green roofs, green walls",Urban,River,"Case studies, Qualitative, Quantitative, Modeling, Surveys and questionnaires",Public awareness
Supplying urban ecosystem services through multifunctional green infrastructure in the United States,2013,10.1007/s10980-013-9912-y,False,False,False,True,False,True,True,False,False,"green roofs, green walls",Urban,River,"Case studies, Review, Qualitative, Quantitative, Modeling, Surveys and questionnaires, Ethnographic",Funding
An Evaluation of Local Comprehensive Plans Toward Sustainable Green Infrastructure in US,2018,10.3390/su10114143,False,False,False,True,False,True,True,True,True,"green roofs, green walls",Urban,Coastal,"Quantitative, Surveys and questionnaires",Funding
"Urban flooding, social equity, and backyard green infrastructure: an area for multidisciplinary practice",2019,10.1080/10705422.2019.1655125,False,False,False,True,False,False,True,True,False,"rain barrels, rain gardens, permeable pavement",Urban,River,Surveys and questionnaires,Funding
Disentangling the connections: A network analysis of approaches to urban green infrastructure,2019,10.1016/j.ufug.2019.04.013,False,False,False,True,False,True,True,False,True,"green roofs, green walls",Urban,Not Mentioned,"Experimental, Review, Qualitative, Quantitative, Modeling, Surveys and questionnaires, Other",Not Mentioned
Green Infrastructure-Countering Ecosystem Fragmentation: Case Study of a Municipality in the Carpathian Foothills,2021,10.3390/f12010078,False,False,False,True,False,True,True,False,False,"green roofs, green walls",Rural,River,"Case studies, Quantitative, Modeling",Lack of data
Assessing the effects of catchment-scale urban green infrastructure retrofits on hydrograph characteristics,2016,10.1002/hyp.10736,False,False,False,True,False,False,True,False,False,"bioretention cells, rain barrels, rain gardens",Urban,River,"Case studies, Experimental, Review, Quantitative, Modeling",Technical challenges
Green infrastructure and planning policy: a critical assessment,2015,10.1080/13549839.2014.880411,False,False,False,True,False,True,True,False,False,"green roofs, green walls",Not Mentioned,River,"Case studies, Qualitative, Review",Funding
Reducing Seismic Vulnerability and Energy Demand of Cities through Green Infrastructure,2018,10.3390/su10082591,False,False,False,True,False,True,True,False,True,"green roofs, green walls",Urban,Not Mentioned,"Case studies, Quantitative, Modeling",Funding
URBAN OPEN SPACE SYSTEM IN NORTHERN KOWLOON PENINSULA: AN EMERGING GREEN INFRASTRUCTURE NETWORK IN HONG KONG,2010,10.1080/10225706.2010.9684150,False,False,False,True,False,True,False,False,False,"vegetation, parks, green roofs, green walls",Urban,Not Mentioned,"Case studies, Qualitative, Quantitative, Surveys and questionnaires",Funding
Valuing green infrastructure in an urban environment under pressure - The Johannesburg case,2013,10.1016/j.ecolecon.2012.05.008,False,False,True,True,False,True,True,False,False,"urban forest, green roofs, green walls",Urban,Not Mentioned,"Quantitative, Qualitative",Lack of data
A panel data analysis of a spatial measurement of green infrastructure and its potential effectiveness on peak streamflow,2020,10.1007/s10668-018-0210-3,False,False,False,True,False,False,True,True,False,"green roofs, green walls",Urban,River,"Quantitative, Modeling",Lack of data
A comprehensive typology for mainstreaming urban green infrastructure,2014,10.1016/j.jhydrol.2014.05.048,False,False,True,True,False,True,True,False,False,"green roofs, green walls",Urban,River,"Case studies, Review, Qualitative, Quantitative, Modeling",Funding
RESILIENCE THROUGH REGENERATION: THE ECONOMICS OF REPURPOSING VACANT LAND WITH GREEN INFRASTRUCTURE,2019,10.15302/J-LAF-20180602,False,False,False,True,False,True,True,True,False,"green roofs, green walls",Urban,River,"Case studies, Quantitative, Modeling",Funding
"Implications of climate change for managing urban green infrastructure: an Indiana, US case study",2020,10.1007/s10584-019-02617-0,False,False,False,True,True,True,True,False,False,"green roofs, green walls",Urban,River,"Case studies, Experimental, Review, Qualitative, Quantitative, Modeling, Surveys and questionnaires, Ethnographic, Longitudinal",Funding
Starting a Participative Approach to Develop Local Green Infrastructure; from Boundary Concept to Collective Action,2020,10.3390/su122310107,False,False,False,True,False,True,True,False,False,"green roofs, green walls",Not Mentioned,River,"Case studies, Qualitative, Quantitative, Surveys and questionnaires",Funding
Predicting Land Use Changes in Philadelphia Following Green Infrastructure Policies,2019,10.3390/land8020028,False,False,False,True,False,False,True,False,False,"green roofs, green walls",Urban,River,Modeling,Funding
"Green Infrastructure through Citizen Stormwater Management: Policy Instruments, Participation and Engagement",2018,10.3390/su10062099,False,False,False,True,False,False,True,False,False,"Green roofs, Green walls",Urban,Lake,"Case studies, Qualitative, Quantitative, Modeling",Funding
Green Infrastructure and the Hidden Politics of Urban Stormwater Governance in a Postindustrial City,2019,10.1080/24694452.2018.1507813,False,False,True,True,False,False,True,False,False,"green roofs, green walls",Urban,River,"Case studies, Qualitative, Quantitative, Surveys and questionnaires",Funding
Assessment of green infrastructure performance through an urban resilience lens,2021,10.1016/j.jclepro.2020.125146,False,False,True,True,True,True,True,False,False,"rain barrel, rain garden, porous pavement, detention basin, open space",Urban,River,"Case studies, Qualitative, Quantitative, Modeling, Surveys and questionnaires",Funding
Green Infrastructure and its Roles in Enhancing Quality of Life,2014,10.1016/j.sbspro.2014.10.071,False,False,False,True,False,True,True,False,False,"Botanical Garden, jogging path, bicycle path, reflexology path, ornamental trees, landscape",Urban,Not Mentioned,"Case studies, Surveys and questionnaires",Funding
Thresholds of landscape change: a new tool to manage green infrastructure and social-economic development,2014,10.1007/s10980-014-0007-1,False,False,False,True,False,True,False,True,False,"forests, parks, orchards, farmland, public green space",Urban,Not Mentioned,"Case studies, Quantitative, Modeling",Not mentioned
Green infrastructure and public policies: An international review of green roofs and green walls incentives,2020,10.1016/j.landusepol.2020.104693,False,False,False,True,True,True,True,True,True,"green roofs, green walls",Urban,Not Mentioned,"Review, Quantitative",Funding
Can we face the challenge: how to implement a theoretical concept of green infrastructure into planning practice? Warsaw case study,2017,10.1080/01426397.2016.1240764,False,False,False,True,False,True,True,True,False,"green roofs, green walls",Not Mentioned,River,"Case studies, Qualitative, Quantitative, Modeling",Funding
Precipitation and soil moisture data in two engineered urban green infrastructure facilities in New York City,2020,10.1016/j.dib.2020.106225,False,False,False,True,False,False,True,False,False,"bioretention facilities, green roofs, green walls",Urban,River,Experimental,Funding
"Ecosystem Services, Green Infrastructure and Spatial Planning",2020,10.3390/su12114396,False,False,False,True,False,True,True,False,False,"green spaces, green roofs, green walls",Not Mentioned,Coastal,"Case studies, Qualitative, Quantitative, Modeling, Surveys and questionnaires",Funding/Policy/Lack of data/Technical challenges/Public awareness/Land availability/Climatic challenges/Biodiversity concerns/Maintenance and longevity/Stakeholder conflicts/Economic concerns
Exploring the effects of green infrastructure placement on neighborhood-level flooding via spatially explicit simulations,2016,10.1016/j.compenvurbsys.2016.04.008,False,False,False,True,False,False,True,False,False,"swales, bioinfiltration devices, green roofs, constructed wetlands",Urban,River,Modeling,Funding
Maryland's Green Infrastructure Assessment: Development of a comprehensive approach to land conservation,2006,10.1016/j.landurbplan.2005.02.002,False,False,False,True,False,True,True,False,False,"forests, wetlands, riparian buffers, green roofs, green walls",Rural,River,Modeling,Funding
PROPOSAL FOR A METHOD OF CONSTRUCTING INCLUSIVE URBAN GREEN INFRASTRUCTURE,2017,10.1515/esrp-2017-0005,False,False,False,True,True,False,False,False,True,"open-air gyms, exercise stations, running tracks, bicycle tracks, Nordic walking tracks, toilets, benches, points of blood pressure and pulse measurement",Urban,Not Mentioned,"Modeling, Other",Not Mentioned
Green Infrastructure and Ecological Corridors: A Regional Study Concerning Sardinia,2018,10.3390/su10041265,False,False,False,True,False,True,True,True,False,"green roofs, green walls",Not Mentioned,Coastal,"Case studies, Quantitative, Modeling",Lack of data
Adapting the social-ecological system framework for urban stormwater management: the case of green infrastructure adoption,2016,10.5751/ES-08756-210419,False,False,False,True,False,True,True,False,True,"green roofs, green walls",Urban,River,"Case studies, Qualitative, Quantitative, Surveys and questionnaires",Funding
Understanding attitudes toward adoption of green infrastructure: A case study of US municipal officials,2015,10.1016/j.envsci.2015.03.007,False,False,True,True,False,False,True,False,False,Green Infrastructure,Urban,River,"Case studies, Quantitative, Surveys and questionnaires",Funding
Benefits and Challenges of Linking Green Infrastructure and Highway Planning in the United States,2013,10.1007/s00267-012-9966-7,False,False,False,True,True,True,True,True,False,"green roofs, green walls",Not Mentioned,River,"Case studies, Review, Qualitative, Quantitative, Modeling",Funding
Embedding social inclusiveness and appropriateness in engineering assessment of green infrastructure to enhance urban resilience,2019,10.1080/1573062X.2019.1633674,False,True,True,True,False,True,True,True,False,"green roofs, green walls",Urban,River,"Case studies, Review, Qualitative, Quantitative, Modeling, Surveys and questionnaires, Ethnographic, Longitudinal",Funding
Challenges of mainstreaming green infrastructure in built environment professions,2020,10.1080/09640568.2019.1605890,False,True,True,True,False,True,True,True,True,"green roofs, green walls",Urban,River,"Case studies, Review, Qualitative, Quantitative, Modeling",Funding
Explaining the currency of novel policy concepts: learning from green infrastructure planning,2015,10.1177/0263774X15605939,False,False,False,True,False,True,True,False,False,"green roofs, green walls",Not Mentioned,River,"Case studies, Qualitative, Review",Funding
Rocky steps towards adaptive management and adaptive governance in implementing green infrastructure at urban scale in Philadelphia,2020,10.1016/j.ufug.2020.126791,False,False,False,True,False,False,True,False,False,"Green roofs, Green walls",Urban,River,"Case studies, Qualitative, Quantitative, Surveys and questionnaires",Funding
Building the Green Infrastructure of Belgrade: The Importance of Community Greening,2017,10.3390/su9071183,False,False,False,True,False,True,True,True,False,"green roofs, green walls",Urban,River,"Case studies, Qualitative, Quantitative",Policy
Reconceptualizing green infrastructure for climate change adaptation: Barriers to adoption and drivers for uptake by spatial planners,2015,10.1016/j.landurbplan.2015.02.010,False,False,False,True,False,True,True,True,False,"green roofs, permeable vegetated surfaces, green alleys and streets, urban forests, public parks, community gardens, urban wetlands",Urban,Not Mentioned,"Qualitative, Review",Other
'Greening' Green Infrastructure. Good Italian Practices for Enhancing Green Infrastructure through the Common Agricultural Policy,2020,10.3390/su12062301,False,False,False,True,False,True,True,True,False,"ecological networks, green infrastructure",Rural,River,"Case studies, Qualitative, Quantitative, Surveys and questionnaires",Funding
"Urban green infrastructure health assessment, based on landsat 8 remote sensing and entropy landscape metrics",2021,10.1080/22797254.2021.1948357,False,False,False,True,True,True,True,True,True,"green roofs, green walls",Urban,River,"Case studies, Quantitative, Modeling",Funding
Public assessment of green infrastructure benefits and associated influencing factors in two Ethiopian cities: Bahir Dar and Hawassa,2019,10.1186/s12898-019-0232-1,False,False,False,True,True,True,True,False,False,"road medians, lake side view, parks, green spaces",Urban,Lake,"Case studies, Review, Quantitative, Surveys and questionnaires",Funding
Data proxies for assessment of urban soil suitability to support green infrastructure,2014,10.2489/jswc.69.3.254,False,False,False,True,False,False,True,False,False,"green roofs, green walls",Urban,Not Mentioned,"Case studies, Quantitative, Modeling",Lack of data
A GIS-based Green Infrastructure Planning for Sustainable Urban Land Use and Spatial Development,2012,10.1016/j.proenv.2012.01.308,False,False,False,True,False,True,True,False,False,"forests, groves, rivers, transportation corridors",Suburban,River,"Case studies, Quantitative, Modeling",Funding
"Green Infrastructure Solutions to Health Impacts of Climate Change: Perspectives of Affected Residents in Detroit, Michigan, USA",2019,10.3390/su11205688,False,False,False,True,False,False,True,False,True,"rain gardens, green alleys, green roofs, green walls",Urban,River,"Qualitative, Surveys and questionnaires",Funding
A greener urban environment: Designing green infrastructure interventions to promote citizens' subjective wellbeing,2019,10.1016/j.landurbplan.2019.103618,False,False,False,True,False,True,True,False,True,"green roofs, green walls",Urban,River,"Quantitative, Surveys and questionnaires",Funding
Adapting cities to climate change-exploring the flood risk management role of green infrastructure landscapes,2018,10.1080/09640568.2017.1355777,False,False,False,True,False,True,True,True,False,"green roofs, green walls",Urban,River,"Case studies, Modeling",Funding
The use of economic valuation to create public support for green infrastructure investments in urban areas,2011,10.1016/j.landurbplan.2011.07.010,False,False,False,True,False,True,True,False,False,"green roofs, green walls",Urban,River,"Case studies, Quantitative, Modeling, Surveys and questionnaires",Lack of data
Green infrastructure: planning a national green network for Australia,2013,10.1080/18626033.2013.798930,False,False,True,True,False,True,True,False,False,"agro-forestry, tree-cropping, recreational greenways, cultural corridors",Not Mentioned,River,"Case studies, Experimental, Modeling",Funding
Grabbed Urban Landscapes: Socio-spatial Tensions in Green Infrastructure Planning in Medellin,2019,10.1111/1468-2427.12725,False,False,False,True,False,True,True,False,False,"green roofs, green walls",Urban,River,"Case studies, Qualitative, Quantitative, Modeling, Surveys and questionnaires, Ethnographic",Funding
Performances and potential of a productive urban green infrastructure,2016,10.13128/Techne-18408,False,False,False,True,False,False,False,False,False,"green roofs, green walls",Urban,Not Mentioned,"Case studies, Experimental",Other
"Assessing and mapping ecosystem services to support urban green infrastructure: The case of Barcelona, Spain",2019,10.1016/j.cities.2019.03.016,False,False,False,True,True,True,True,True,False,"urban forest, urban parks, urban gardens, green roofs, green walls",Urban,Coastal,"Case studies, Modeling",Funding
Key Factors Influencing Wider Adoption of Blue-Green Infrastructure in Developing Cities,2019,10.3390/w11061234,False,True,False,True,False,False,True,True,False,"green roofs, green walls",Urban,River,"Case studies, Qualitative, Surveys and questionnaires",Funding
"Factors influencing residents' attitude towards urban green infrastructure in Lagos Metropolis, Nigeria",2021,10.1007/s10668-020-00868-x,False,False,False,True,True,True,True,True,True,"green spaces, tree features, water features, other spaces",Urban,Not Mentioned,Surveys and questionnaires,Not mentioned
Negotiating value and priorities: evaluating the demands of green infrastructure development,2013,10.1080/09640568.2012.693454,False,False,False,True,False,True,True,True,False,"parks, gardens, woodland, water bodies, linear features, footpaths, streams, rivers, cycle routes, roadside verges, linear woodlands",Not Mentioned,Lake,"Case studies, Qualitative, Quantitative, Surveys and questionnaires",Stakeholder conflicts
Microbial Composition and Functional Diversity Differ Across Urban Green Infrastructure Types,2020,10.3389/fmicb.2020.00912,False,False,False,True,False,True,True,False,False,"green roofs, bioswales, green walls, tree pits, park lawns",Urban,River,Experimental,Funding
Environmental justice implications of siting criteria in urban green infrastructure planning,2021,10.1080/1523908X.2021.1945916,False,False,False,True,True,False,True,True,True,"green roofs, green walls",Urban,River,"Qualitative, Other",Funding
Determinants of residents' preferences for Urban Green infrastructure in Nigeria: Evidence from Lagos Metropolis,2021,10.1016/j.ufug.2020.126931,False,False,False,True,False,False,True,False,True,"parks, gardens, sport fields, green roofs, city farms, floodplains, green corridors, tree features, water features, others",Urban,,,
Implementation as more than installation: a case study of the challenges in implementing green infrastructure projects in two Australian primary schools,2018,10.1080/1573062X.2019.1574842,,,,,,,,,,,,,,
Green Infrastructure in the Urban Environment: A Systematic Quantitative Review,2019,10.3390/su11113182,,,,,,,,,,,,,,
A green infrastructure spatial planning model for evaluating ecosystem service tradeoffs and synergies across three coastal megacities,2019,10.1088/1748-9326/ab502c,,,,,,,,,,,,,,
A case-study based framework for assessing the multi-sector performance of green infrastructure,2018,10.1016/j.jenvman.2018.06.029,,,,,,,,,,,,,,
Planning for a sustainable desert city: The potential water buffering capacity of urban green infrastructure,2017,10.1016/j.landurbplan.2017.07.014,,,,,,,,,,,,,,
"Economic Valuation of Green Infrastructure Investments in Urban Renewal: The Case of the Station District in Taichung, Taiwan",2020,10.3390/environments7080056,,,,,,,,,,,,,,
Planning green infrastructure placement based on projected precipitation data,2021,10.1016/j.jenvman.2020.111718,,,,,,,,,,,,,,
Evaluating Spatial Priority of Urban Green Infrastructure for Urban Sustainability in Areas of Rapid Urbanization: A Case Study of Pukou in China,2018,10.3390/su10020327,,,,,,,,,,,,,,
Strategic green infrastructure planning in Germany and the UK: a transnational evaluation of the evolution of urban greening policy and practice,2017,10.1080/13563475.2017.1291334,,,,,,,,,,,,,,
"Using Different Levels of Information in Planning Green Infrastructure in Luanda, Angola",2020,10.3390/su12083162,,,,,,,,,,,,,,
Green infrastructure for China's new urbanisation: A case study of greenway development in Maanshan,2020,10.1177/0042098018822965,,,,,,,,,,,,,,
Spatial planning for green infrastructure in Yogyakarta City based on land surface temperature,2018,10.1088/1755-1315/179/1/012004,,,,,,,,,,,,,,
Comprehensive Performance Evaluation of Green Infrastructure Practices for Urban Watersheds Using an Engineering-Environmental-Economic (3E) Model,2021,10.3390/su13094678,,,,,,,,,,,,,,
"Green infrastructure, stormwater, and the financialization of municipal environmental governance",2021,10.1080/1523908X.2021.1893164,,,,,,,,,,,,,,
